symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2018-07-23 00:00:00+00:00,1211.0,1215.1,1192.01,1195.66,3272304,60.55,60.755,59.6005,59.783,65446080,0.0,1.0
GOOGL,2018-07-24 00:00:00+00:00,1258.15,1275.0,1244.14,1271.0,5380032,62.9075,63.75,62.207,63.55,107600640,0.0,1.0
GOOGL,2018-07-25 00:00:00+00:00,1275.94,1278.24,1249.05,1252.62,2575437,63.797,63.912,62.4525,62.631,51508740,0.0,1.0
GOOGL,2018-07-26 00:00:00+00:00,1285.5,1287.4,1263.0,1267.18,2734302,64.275,64.37,63.15,63.359,54686040,0.0,1.0
GOOGL,2018-07-27 00:00:00+00:00,1252.89,1291.44,1244.49,1289.12,2418090,62.6445,64.572,62.2245,64.456,48361800,0.0,1.0
GOOGL,2018-07-30 00:00:00+00:00,1230.04,1252.89,1224.17,1245.05,2194837,61.502,62.6445,61.2085,62.2525,43896740,0.0,1.0
GOOGL,2018-07-31 00:00:00+00:00,1227.22,1241.21,1216.19,1231.71,1969111,61.361,62.0605,60.8095,61.5855,39382220,0.0,1.0
GOOGL,2018-08-01 00:00:00+00:00,1232.99,1245.9,1224.94,1239.11,1849740,61.6495,62.295,61.247,61.9555,36994800,0.0,1.0
GOOGL,2018-08-02 00:00:00+00:00,1241.13,1244.41,1218.06,1218.5,1735180,62.0565,62.2205,60.903,60.925,34703600,0.0,1.0
GOOGL,2018-08-03 00:00:00+00:00,1238.16,1246.52,1229.42,1245.18,1063244,61.908,62.326,61.471,62.259,21264880,0.0,1.0
GOOGL,2018-08-06 00:00:00+00:00,1237.67,1242.46,1230.53,1241.61,1105916,61.8835,62.123,61.5265,62.0805,22118320,0.0,1.0
GOOGL,2018-08-07 00:00:00+00:00,1255.84,1266.08,1251.8,1252.01,2125256,62.792,63.304,62.59,62.6005,42505120,0.0,1.0
GOOGL,2018-08-08 00:00:00+00:00,1261.33,1271.72,1252.12,1256.72,1718664,63.0665,63.586,62.606,62.836,34373280,0.0,1.0
GOOGL,2018-08-09 00:00:00+00:00,1264.46,1271.96,1260.1,1262.73,1366318,63.223,63.598,63.005,63.1365,27326360,0.0,1.0
GOOGL,2018-08-10 00:00:00+00:00,1252.51,1261.2,1247.16,1259.18,1334387,62.6255,63.06,62.358,62.959,26687740,0.0,1.0
GOOGL,2018-08-13 00:00:00+00:00,1248.64,1265.97,1247.03,1251.2,1380882,62.432,63.2985,62.3515,62.56,27617640,0.0,1.0
GOOGL,2018-08-14 00:00:00+00:00,1258.14,1260.59,1239.54,1252.5,1403991,62.907,63.0295,61.977,62.625,28079820,0.0,1.0
GOOGL,2018-08-15 00:00:00+00:00,1232.22,1251.98,1226.24,1244.28,1852558,61.611,62.599,61.312,62.214,37051160,0.0,1.0
GOOGL,2018-08-16 00:00:00+00:00,1224.06,1243.7,1219.63,1241.99,1608799,61.203,62.185,60.9815,62.0995,32175980,0.0,1.0
GOOGL,2018-08-17 00:00:00+00:00,1215.85,1226.95,1204.0,1222.04,1654629,60.7925,61.3475,60.2,61.102,33092580,0.0,1.0
GOOGL,2018-08-20 00:00:00+00:00,1221.95,1225.91,1208.7,1220.66,1111173,61.0975,61.2955,60.435,61.033,22223460,0.0,1.0
